BehaviorSpace results (NetLogo 5.3),,,,,,,,
Bees.nlogo,,,,,,,,
R testing,,,,,,,,
02/16/2016 08:42:42:963 -0800,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-500,500,-500,500,,,,,
[run number],c1_mult,c2_mult,patchiness,resource_density,calc_R,[step],R,timer
188,81,121,13,"""dense""",TRUE,1,0.451917533,57.794
189,81,121,17,"""sparse""",TRUE,1,0.994462108,11.822
190,81,121,17,"""dense""",TRUE,1,0.44685441,59.128
191,81,121,21,"""sparse""",TRUE,1,0.96086696,14.16
192,81,121,21,"""dense""",TRUE,1,0.453471665,61.077
193,81,161,1,"""sparse""",TRUE,1,1.130873178,3.529
194,81,161,1,"""dense""",TRUE,1,0.992510011,51.771
195,81,161,5,"""sparse""",TRUE,1,0.892381947,5.341
196,81,161,5,"""dense""",TRUE,1,0.434803318,54.313
197,81,161,9,"""sparse""",TRUE,1,0.892869571,7.888
198,81,161,9,"""dense""",TRUE,1,0.412189538,54.175
199,81,161,13,"""sparse""",TRUE,1,1.093238116,9.375
200,81,161,13,"""dense""",TRUE,1,0.403082819,58.802
201,81,161,17,"""sparse""",TRUE,1,0.792404269,11.937
202,81,161,17,"""dense""",TRUE,1,0.404748247,59.072
203,81,161,21,"""sparse""",TRUE,1,0.848943717,14.095
204,81,161,21,"""dense""",TRUE,1,0.419098509,60.53
205,81,201,1,"""sparse""",TRUE,1,0.977961882,3.483
206,81,201,1,"""dense""",TRUE,1,1.012958091,50.555
207,81,201,5,"""sparse""",TRUE,1,1.085069731,5.616
208,81,201,5,"""dense""",TRUE,1,0.43721313,50.429
209,81,201,9,"""sparse""",TRUE,1,0.955043448,7.6
210,81,201,9,"""dense""",TRUE,1,0.396708942,56.134
211,81,201,13,"""sparse""",TRUE,1,0.926489883,9.674
212,81,201,13,"""dense""",TRUE,1,0.389558067,56.79
213,81,201,17,"""sparse""",TRUE,1,0.682208393,11.597
214,81,201,17,"""dense""",TRUE,1,0.355644133,61.916
215,81,201,21,"""sparse""",TRUE,1,0.86547073,13.971
216,81,201,21,"""dense""",TRUE,1,0.36841784,61.674
217,121,1,1,"""sparse""",TRUE,1,0.901477259,3.509
218,121,1,1,"""dense""",TRUE,1,0.991034488,50.841
219,121,1,5,"""sparse""",TRUE,1,1.30647987,5.502
220,121,1,5,"""dense""",TRUE,1,0.626328524,53.005
221,121,1,9,"""sparse""",TRUE,1,1.11236875,7.774
222,121,1,9,"""dense""",TRUE,1,0.661440472,51.342
223,121,1,13,"""sparse""",TRUE,1,0.814310411,9.783
224,121,1,13,"""dense""",TRUE,1,0.59584491,57.936
225,121,1,17,"""sparse""",TRUE,1,1.014719462,11.962
226,121,1,17,"""dense""",TRUE,1,0.569146228,59.559
227,121,1,21,"""sparse""",TRUE,1,1.129144437,13.659
228,121,1,21,"""dense""",TRUE,1,0.598432856,59.691
229,121,41,1,"""sparse""",TRUE,1,0.965829606,3.882
230,121,41,1,"""dense""",TRUE,1,0.999862464,52.352
231,121,41,5,"""sparse""",TRUE,1,1.115810205,5.509
232,121,41,5,"""dense""",TRUE,1,0.563559625,52.998
233,121,41,9,"""sparse""",TRUE,1,1.028627057,7.35
234,121,41,9,"""dense""",TRUE,1,0.497286288,55.665
235,121,41,13,"""sparse""",TRUE,1,1.208218965,9.54
236,121,41,13,"""dense""",TRUE,1,0.522349245,56.906
237,121,41,17,"""sparse""",TRUE,1,1.185249806,11.536
238,121,41,17,"""dense""",TRUE,1,0.505215457,56.962
239,121,41,21,"""sparse""",TRUE,1,1.288204034,13.736
240,121,41,21,"""dense""",TRUE,1,0.526666008,59.182
241,121,81,1,"""sparse""",TRUE,1,0.886120356,3.751
242,121,81,1,"""dense""",TRUE,1,1.008754408,50.414
243,121,81,5,"""sparse""",TRUE,1,0.979491484,5.714
244,121,81,5,"""dense""",TRUE,1,0.49034941,51.531
245,121,81,9,"""sparse""",TRUE,1,0.934709841,7.693
246,121,81,9,"""dense""",TRUE,1,0.495539481,53.878
247,121,81,13,"""sparse""",TRUE,1,0.994625563,9.873
248,121,81,13,"""dense""",TRUE,1,0.457970191,56.609
249,121,81,17,"""sparse""",TRUE,1,0.932303392,12.063
250,121,81,17,"""dense""",TRUE,1,0.465045531,59.368
251,121,81,21,"""sparse""",TRUE,1,0.985563206,14.238
252,121,81,21,"""dense""",TRUE,1,0.45745317,62.937
253,121,121,1,"""sparse""",TRUE,1,1.10359184,3.668
254,121,121,1,"""dense""",TRUE,1,0.998260469,51.99
255,121,121,5,"""sparse""",TRUE,1,0.989121075,5.66
256,121,121,5,"""dense""",TRUE,1,0.495141192,51.908
257,121,121,9,"""sparse""",TRUE,1,0.948697243,7.889
258,121,121,9,"""dense""",TRUE,1,0.444369576,55.64
259,121,121,13,"""sparse""",TRUE,1,0.888415855,9.811
260,121,121,13,"""dense""",TRUE,1,0.434925265,57.962
261,121,121,17,"""sparse""",TRUE,1,0.906463901,11.928
262,121,121,17,"""dense""",TRUE,1,0.410413159,56.662
263,121,121,21,"""sparse""",TRUE,1,1.032956538,14.057
264,121,121,21,"""dense""",TRUE,1,0.425326408,63.123
265,121,161,1,"""sparse""",TRUE,1,1.102689451,3.442
266,121,161,1,"""dense""",TRUE,1,1.044973519,50.194
267,121,161,5,"""sparse""",TRUE,1,1.070874295,5.759
268,121,161,5,"""dense""",TRUE,1,0.423413044,53.982
269,121,161,9,"""sparse""",TRUE,1,0.903924866,7.871
270,121,161,9,"""dense""",TRUE,1,0.384166039,56.785
271,121,161,13,"""sparse""",TRUE,1,0.959214602,9.992
272,121,161,13,"""dense""",TRUE,1,0.406611764,55.692
273,121,161,17,"""sparse""",TRUE,1,0.861886033,12.136
274,121,161,17,"""dense""",TRUE,1,0.39844125,59.004
275,121,161,21,"""sparse""",TRUE,1,1.008241166,14.076
276,121,161,21,"""dense""",TRUE,1,0.396415436,60.984
277,121,201,1,"""sparse""",TRUE,1,0.809545492,3.949
278,121,201,1,"""dense""",TRUE,1,1.030908271,50.778
279,121,201,5,"""sparse""",TRUE,1,0.824588556,5.793
280,121,201,5,"""dense""",TRUE,1,0.426174924,51.595
281,121,201,9,"""sparse""",TRUE,1,1.004026603,7.602
282,121,201,9,"""dense""",TRUE,1,0.42602903,53.2
283,121,201,13,"""sparse""",TRUE,1,1.056530977,9.454
284,121,201,13,"""dense""",TRUE,1,0.386406436,55.811
285,121,201,17,"""sparse""",TRUE,1,0.958852362,12.128
286,121,201,17,"""dense""",TRUE,1,0.378951812,58.426
287,121,201,21,"""sparse""",TRUE,1,0.822282413,14.632
288,121,201,21,"""dense""",TRUE,1,0.379082257,63.603
289,161,1,1,"""sparse""",TRUE,1,0.991980893,3.49
290,161,1,1,"""dense""",TRUE,1,1.044488509,50.363
291,161,1,5,"""sparse""",TRUE,1,0.923743556,5.683
292,161,1,5,"""dense""",TRUE,1,0.607672416,52.746
293,161,1,9,"""sparse""",TRUE,1,1.175615043,7.578
294,161,1,9,"""dense""",TRUE,1,0.559861403,58.142
295,161,1,13,"""sparse""",TRUE,1,0.976207137,9.865
296,161,1,13,"""dense""",TRUE,1,0.559205062,56.723
297,161,1,17,"""sparse""",TRUE,1,0.802276477,12.27
298,161,1,17,"""dense""",TRUE,1,0.524752714,62.081
299,161,1,21,"""sparse""",TRUE,1,1.02759068,14.328
300,161,1,21,"""dense""",TRUE,1,0.523203474,62.069
301,161,41,1,"""sparse""",TRUE,1,0.840429617,3.614
302,161,41,1,"""dense""",TRUE,1,0.999643533,51.181
303,161,41,5,"""sparse""",TRUE,1,0.948761109,5.682
304,161,41,5,"""dense""",TRUE,1,0.521567227,53.613
305,161,41,9,"""sparse""",TRUE,1,0.906502881,7.916
306,161,41,9,"""dense""",TRUE,1,0.469594322,56.993
307,161,41,13,"""sparse""",TRUE,1,0.864408904,10.51
308,161,41,13,"""dense""",TRUE,1,0.479856679,57.296
309,161,41,17,"""sparse""",TRUE,1,0.917840916,12.194
310,161,41,17,"""dense""",TRUE,1,0.455609374,60.305
311,161,41,21,"""sparse""",TRUE,1,1.188042557,14.639
312,161,41,21,"""dense""",TRUE,1,0.485778928,61.882
313,161,81,1,"""sparse""",TRUE,1,0.986805277,3.55
314,161,81,1,"""dense""",TRUE,1,1.030259216,48.114
315,161,81,5,"""sparse""",TRUE,1,1.111615554,5.613
316,161,81,5,"""dense""",TRUE,1,0.47016868,53.092
317,161,81,9,"""sparse""",TRUE,1,1.352263299,7.317
318,161,81,9,"""dense""",TRUE,1,0.427978718,56.027
319,161,81,13,"""sparse""",TRUE,1,0.971133922,10.163
320,161,81,13,"""dense""",TRUE,1,0.431698628,56.261
321,161,81,17,"""sparse""",TRUE,1,0.919244131,11.911
322,161,81,17,"""dense""",TRUE,1,0.432949028,59.097
323,161,81,21,"""sparse""",TRUE,1,0.857908141,13.991
324,161,81,21,"""dense""",TRUE,1,0.429177492,60.78
325,161,121,1,"""sparse""",TRUE,1,1.020254509,3.429
326,161,121,1,"""dense""",TRUE,1,1.036426425,49.554
327,161,121,5,"""sparse""",TRUE,1,1.251202457,5.47
328,161,121,5,"""dense""",TRUE,1,0.447120198,52.416
329,161,121,9,"""sparse""",TRUE,1,1.064031803,7.493
330,161,121,9,"""dense""",TRUE,1,0.404971983,57.355
331,161,121,13,"""sparse""",TRUE,1,1.108833317,9.414
332,161,121,13,"""dense""",TRUE,1,0.404651182,58.264
333,161,121,17,"""sparse""",TRUE,1,0.783371798,11.973
334,161,121,17,"""dense""",TRUE,1,0.45792151,58.922
335,161,121,21,"""sparse""",TRUE,1,1.011521404,14.17
336,161,121,21,"""dense""",TRUE,1,0.394347524,64.611
337,161,161,1,"""sparse""",TRUE,1,0.950711401,3.571
338,161,161,1,"""dense""",TRUE,1,1.00380701,51.098
339,161,161,5,"""sparse""",TRUE,1,0.892684113,5.721
340,161,161,5,"""dense""",TRUE,1,0.375530887,54.362
341,161,161,9,"""sparse""",TRUE,1,0.769828452,7.937
342,161,161,9,"""dense""",TRUE,1,0.383399469,55.929
343,161,161,13,"""sparse""",TRUE,1,0.977264298,9.495
344,161,161,13,"""dense""",TRUE,1,0.364290085,60.66
345,161,161,17,"""sparse""",TRUE,1,0.726479031,12.16
346,161,161,17,"""dense""",TRUE,1,0.348233084,60.965
347,161,161,21,"""sparse""",TRUE,1,1.320440276,13.851
348,161,161,21,"""dense""",TRUE,1,0.365028098,62.494
349,161,201,1,"""sparse""",TRUE,1,0.914122672,3.737
350,161,201,1,"""dense""",TRUE,1,1.021766481,50.759
351,161,201,5,"""sparse""",TRUE,1,0.880545072,5.576
352,161,201,5,"""dense""",TRUE,1,0.364441088,54.192
353,161,201,9,"""sparse""",TRUE,1,0.993817057,7.618
354,161,201,9,"""dense""",TRUE,1,0.383745132,54.143
355,161,201,13,"""sparse""",TRUE,1,0.982463183,9.63
356,161,201,13,"""dense""",TRUE,1,0.365843033,57.891
357,161,201,17,"""sparse""",TRUE,1,0.909559644,12.28
358,161,201,17,"""dense""",TRUE,1,0.366186554,59.411
359,161,201,21,"""sparse""",TRUE,1,0.926039359,14.476
360,161,201,21,"""dense""",TRUE,1,0.33424609,61.81
361,201,1,1,"""sparse""",TRUE,1,0.966096499,3.54
362,201,1,1,"""dense""",TRUE,1,1.015569426,51.549
363,201,1,5,"""sparse""",TRUE,1,0.88055955,5.591
364,201,1,5,"""dense""",TRUE,1,0.539363047,53.134
365,201,1,9,"""sparse""",TRUE,1,0.816503885,8.149
366,201,1,9,"""dense""",TRUE,1,0.528030566,54.254
367,201,1,13,"""sparse""",TRUE,1,1.023388369,10.006
368,201,1,13,"""dense""",TRUE,1,0.569813114,55.056
369,201,1,17,"""sparse""",TRUE,1,0.997439609,11.971
370,201,1,17,"""dense""",TRUE,1,0.507257639,60.408
371,201,1,21,"""sparse""",TRUE,1,1.121723342,13.93
372,201,1,21,"""dense""",TRUE,1,0.465534691,64.988
373,201,41,1,"""sparse""",TRUE,1,0.961060062,3.338
374,201,41,1,"""dense""",TRUE,1,1.019655664,50.231
375,201,41,5,"""sparse""",TRUE,1,1.369129537,5.045
376,201,41,5,"""dense""",TRUE,1,0.536856939,50.767
377,201,41,9,"""sparse""",TRUE,1,0.999871015,7.782
378,201,41,9,"""dense""",TRUE,1,0.448308204,56.163
379,201,41,13,"""sparse""",TRUE,1,0.89196587,10.039
380,201,41,13,"""dense""",TRUE,1,0.467731661,58.432
381,201,41,17,"""sparse""",TRUE,1,0.881704761,11.894
382,201,41,17,"""dense""",TRUE,1,0.425381478,58.225
383,201,41,21,"""sparse""",TRUE,1,0.866043957,14.452
384,201,41,21,"""dense""",TRUE,1,0.467452834,61.871
385,201,81,1,"""sparse""",TRUE,1,1.111648453,3.858
386,201,81,1,"""dense""",TRUE,1,1.008842292,50.521
387,201,81,5,"""sparse""",TRUE,1,0.652157675,5.835
388,201,81,5,"""dense""",TRUE,1,0.467473413,52.601
389,201,81,9,"""sparse""",TRUE,1,1.305454251,7.467
390,201,81,9,"""dense""",TRUE,1,0.463920812,55.289
391,201,81,13,"""sparse""",TRUE,1,0.956799703,9.616
392,201,81,13,"""dense""",TRUE,1,0.43177153,56.868
393,201,81,17,"""sparse""",TRUE,1,0.983585441,11.761
394,201,81,17,"""dense""",TRUE,1,0.407719864,60.589
395,201,81,21,"""sparse""",TRUE,1,1.070588351,14.224
396,201,81,21,"""dense""",TRUE,1,0.40077707,61.262
397,201,121,1,"""sparse""",TRUE,1,1.069335935,3.562
398,201,121,1,"""dense""",TRUE,1,1.016432863,50.256
399,201,121,5,"""sparse""",TRUE,1,0.947909014,5.662
400,201,121,5,"""dense""",TRUE,1,0.435220197,52.196
401,201,121,9,"""sparse""",TRUE,1,0.972830545,7.759
402,201,121,9,"""dense""",TRUE,1,0.394796565,56.054
403,201,121,13,"""sparse""",TRUE,1,1.009200524,9.656
404,201,121,13,"""dense""",TRUE,1,0.358293736,55.254
405,201,121,17,"""sparse""",TRUE,1,1.256112515,11.739
406,201,121,17,"""dense""",TRUE,1,0.389157991,62.654
407,201,121,21,"""sparse""",TRUE,1,0.940147,14.231
408,201,121,21,"""dense""",TRUE,1,0.348018008,60.994
409,201,161,1,"""sparse""",TRUE,1,1.055187886,3.381
410,201,161,1,"""dense""",TRUE,1,1.030460068,50.877
411,201,161,5,"""sparse""",TRUE,1,1.215593165,5.354
412,201,161,5,"""dense""",TRUE,1,0.389003999,51.484
413,201,161,9,"""sparse""",TRUE,1,1.26043541,7.504
414,201,161,9,"""dense""",TRUE,1,0.36173651,57.193
415,201,161,13,"""sparse""",TRUE,1,0.947014612,10.148
416,201,161,13,"""dense""",TRUE,1,0.352595439,61.494
417,201,161,17,"""sparse""",TRUE,1,0.855004263,12.319
418,201,161,17,"""dense""",TRUE,1,0.339208358,61.654
419,201,161,21,"""sparse""",TRUE,1,0.951185186,14.598
420,201,161,21,"""dense""",TRUE,1,0.336294342,61.453
421,201,201,1,"""sparse""",TRUE,1,1.013746875,3.491
422,201,201,1,"""dense""",TRUE,1,0.996417298,51.586
