BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2016 14:43:38:752 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,found/all,depleted resources,depleted/found,max [dist-hive-max] of turtles
43,"""sparse""","""0.6""",TRUE,500,3,-750,750,-750,750,2400,500,TRUE,0.628132141,7,5.819,0.076217774,91423.22,15711.15656,31.42231311,FALSE,TRUE,230.246,1621.4,107,93,14,0.130841121,2,0.142857143,700.8790095
44,"""sparse""","""0.6""",TRUE,500,4,-750,750,-750,750,2400,500,TRUE,0.577813469,3,5.819,0.066213589,79423.2,13648.94312,27.29788623,FALSE,TRUE,90.533,1428.069,99,87,12,0.121212121,5,0.416666667,917.8474186
45,"""sparse""","""0.6""",TRUE,500,5,-750,750,-750,750,2400,500,TRUE,0.62015201,1,5.819,0.750612288,900359.44,154727.5202,309.4550404,FALSE,TRUE,42.429,1427.359,99,81,18,0.181818182,7,0.388888889,675.7301746
46,"""sparse""","""0.6""",TRUE,500,6,-750,750,-750,750,2400,500,TRUE,0.619789493,1,5.819,0.08713619,104519.86,17961.82506,35.92365011,FALSE,TRUE,42.692,1359.549,104,93,11,0.105769231,5,0.454545455,761.8243825
47,"""sparse""","""0.6""",TRUE,500,7,-750,750,-750,750,2400,500,TRUE,0.607655599,5,5.819,0.136959275,164282.65,28232.11033,56.46422066,FALSE,TRUE,137.072,1476.436,105,90,15,0.142857143,9,0.6,773.7211002
48,"""sparse""","""0.6""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.602876312,1,5.819,0.134158483,160923.1,27654.76886,55.30953772,FALSE,TRUE,51.28,1454.501,113,94,19,0.168141593,8,0.421052632,760.2193553
49,"""sparse""","""0.6""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.62673431,2,5.819,0.309093222,370757.32,63714.95446,127.4299089,FALSE,TRUE,65.314,1524.273,90,72,18,0.2,8,0.444444444,729.6720954
50,"""sparse""","""0.6""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.610126583,4,5.819,0.328859742,394467.26,67789.52741,135.5790548,FALSE,TRUE,112.622,1496.716,101,83,18,0.178217822,8,0.444444444,659.5614102
51,"""sparse""","""0.6""",TRUE,3000,1,-750,750,-750,750,2400,3000,TRUE,0.600848521,3,5.819,0.111524523,802641.99,137934.695,45.97823165,TRUE,FALSE,210.356,1974.389,100,59,41,0.41,20,0.487804878,824.2835862
52,"""sparse""","""0.6""",TRUE,3000,2,-750,750,-750,750,2400,3000,TRUE,0.590020181,3,5.819,0.054770454,394182.96,67740.67022,22.58022341,TRUE,FALSE,210.604,2041.962,101,61,40,0.396039604,19,0.475,984.3817997
53,"""sparse""","""0.6""",TRUE,3000,3,-750,750,-750,750,2400,3000,TRUE,0.628132141,7,5.819,0.037194778,267690.82,46002.89053,15.33429684,TRUE,FALSE,210.118,2033.904,107,69,38,0.355140187,18,0.473684211,884.8369822
54,"""sparse""","""0.6""",TRUE,3000,4,-750,750,-750,750,2400,3000,TRUE,0.577813469,3,5.819,0.032373101,232989.21,40039.38993,13.34646331,TRUE,FALSE,210.721,1934.245,99,71,28,0.282828283,15,0.535714286,1028.710092
55,"""sparse""","""0.6""",TRUE,3000,5,-750,750,-750,750,2400,3000,TRUE,0.62015201,1,5.819,0.140777471,1013175.46,174115.0473,58.03834909,TRUE,FALSE,195.691,1972.271,99,51,48,0.484848485,20,0.416666667,902.1462627
56,"""sparse""","""0.6""",TRUE,3000,6,-750,750,-750,750,2400,3000,TRUE,0.619789493,1,5.819,0.051762953,372537.97,64020.96065,21.34032022,TRUE,FALSE,194.411,2034.692,104,65,39,0.375,13,0.333333333,931.4142236
57,"""sparse""","""0.6""",TRUE,3000,7,-750,750,-750,750,2400,3000,TRUE,0.607655599,5,5.819,0.049802672,358429.83,61596.46503,20.53215501,TRUE,FALSE,202.924,1936.852,105,69,36,0.342857143,19,0.527777778,989.1800637
58,"""sparse""","""0.6""",TRUE,3000,8,-750,750,-750,750,2400,3000,TRUE,0.602876312,1,5.819,0.111076806,799419.77,137380.9538,45.79365126,TRUE,FALSE,202.671,2042.213,113,61,52,0.460176991,26,0.5,980.0059899
59,"""sparse""","""0.6""",TRUE,3000,9,-750,750,-750,750,2400,3000,TRUE,0.62673431,2,5.819,0.087653496,630842.21,108410.7596,36.13691986,TRUE,FALSE,185.569,1996.437,90,55,35,0.388888889,19,0.542857143,1004.407443
60,"""sparse""","""0.6""",TRUE,3000,10,-750,750,-750,750,2400,3000,TRUE,0.610126583,4,5.819,0.078699539,566400.58,97336.41175,32.44547058,TRUE,FALSE,189.895,2036.43,101,56,45,0.445544554,18,0.4,780.3399563
61,"""sparse""","""0.6""",FALSE,500,1,-750,750,-750,750,2400,500,FALSE,0.600848521,3,5.819,0.105878591,127001.37,21825.29129,43.65058257,TRUE,FALSE,185.204,1955.654,100,87,13,0.13,4,0.307692308,968.3025097
62,"""sparse""","""0.6""",FALSE,500,2,-750,750,-750,750,2400,500,FALSE,0.590020181,3,5.819,0.059247378,71067.23,12212.96271,24.42592542,TRUE,FALSE,200.862,2020.877,101,87,14,0.138613861,4,0.285714286,995.0873249
63,"""sparse""","""0.6""",FALSE,500,3,-750,750,-750,750,2400,500,FALSE,0.628132141,7,5.819,0.052238741,62660.37,10768.23681,21.53647362,TRUE,FALSE,183.545,1988.279,107,94,13,0.121495327,2,0.153846154,701.8201476
64,"""sparse""","""0.6""",FALSE,500,4,-750,750,-750,750,2400,500,FALSE,0.577813469,3,5.819,0.01092501,13104.55,2252.02784,4.50405568,TRUE,FALSE,191.547,2027.47,99,90,9,0.090909091,0,0,799.8322187
65,"""sparse""","""0.6""",FALSE,500,5,-750,750,-750,750,2400,500,FALSE,0.62015201,1,5.819,0.444170288,532782.26,91559.07544,183.1181509,TRUE,FALSE,191.986,1945.975,99,85,14,0.141414141,5,0.357142857,613.6453218
66,"""sparse""","""0.6""",FALSE,500,6,-750,750,-750,750,2400,500,FALSE,0.619789493,1,5.819,0.044615281,53516.03,9196.77436,18.39354872,TRUE,FALSE,185.202,2005.815,104,95,9,0.086538462,5,0.555555556,727.8402292
67,"""sparse""","""0.6""",FALSE,500,7,-750,750,-750,750,2400,500,FALSE,0.607655599,5,5.819,0.069863376,83801.12,14401.29232,28.80258464,TRUE,FALSE,189.487,1987.766,105,94,11,0.104761905,4,0.363636364,844.7321989
68,"""sparse""","""0.6""",FALSE,500,8,-750,750,-750,750,2400,500,FALSE,0.602876312,1,5.819,0.092894748,111427.25,19148.86578,38.29773157,TRUE,FALSE,183.412,2019.148,113,94,19,0.168141593,5,0.263157895,1021.427807
69,"""sparse""","""0.6""",FALSE,500,9,-750,750,-750,750,2400,500,FALSE,0.62673431,2,5.819,0.100005411,119956.49,20614.62279,41.22924557,TRUE,FALSE,192.888,1945.477,90,73,17,0.188888889,3,0.176470588,772.28062
70,"""sparse""","""0.6""",FALSE,500,10,-750,750,-750,750,2400,500,FALSE,0.610126583,4,5.819,0.277244102,332554.3,57149.73363,114.2994673,TRUE,FALSE,186.337,2000.713,101,84,17,0.168316832,3,0.176470588,674.2436956
71,"""sparse""","""0.6""",FALSE,3000,1,-750,750,-750,750,2400,3000,FALSE,0.600848521,3,5.819,0.043594131,313746.96,53917.67658,17.97255886,TRUE,FALSE,189.541,1989.721,100,64,36,0.36,7,0.194444444,915.317554
72,"""sparse""","""0.6""",FALSE,3000,2,-750,750,-750,750,2400,3000,FALSE,0.590020181,3,5.819,0.027904717,200830.25,34512.84585,11.50428195,TRUE,FALSE,183.824,2031.617,101,66,35,0.346534653,11,0.314285714,927.1975017
73,"""sparse""","""0.6""",FALSE,3000,3,-750,750,-750,750,2400,3000,FALSE,0.628132141,7,5.819,0.026542882,191029.12,32828.51349,10.94283783,TRUE,FALSE,192.366,1948.335,107,80,27,0.252336449,12,0.444444444,878.1074502
74,"""sparse""","""0.6""",FALSE,3000,4,-750,750,-750,750,2400,3000,FALSE,0.577813469,3,5.819,0.018154314,130656.6,22453.44561,7.48448187,TRUE,FALSE,185.252,2010.462,99,73,26,0.262626263,5,0.192307692,907.3827822
75,"""sparse""","""0.6""",FALSE,3000,5,-750,750,-750,750,2400,3000,FALSE,0.62015201,1,5.819,0.112432236,809174.8,139057.3638,46.3524546,TRUE,FALSE,189.194,1990.222,99,67,32,0.323232323,14,0.4375,979.4739091
76,"""sparse""","""0.6""",FALSE,3000,6,-750,750,-750,750,2400,3000,FALSE,0.619789493,1,5.819,0.028718827,206689.4,35519.74566,11.83991522,TRUE,FALSE,184.528,2026.763,104,78,26,0.25,9,0.346153846,745.0167783
77,"""sparse""","""0.6""",FALSE,3000,7,-750,750,-750,750,2400,3000,FALSE,0.607655599,5,5.819,0.030339855,218355.94,37524.65028,12.50821676,TRUE,FALSE,193.852,1951.666,105,75,30,0.285714286,11,0.366666667,1003.330527
78,"""sparse""","""0.6""",FALSE,3000,8,-750,750,-750,750,2400,3000,FALSE,0.602876312,1,5.819,0.045791767,329563.35,56635.73638,18.87857879,TRUE,FALSE,184.309,1968.05,113,74,39,0.345132743,11,0.282051282,852.7971499
79,"""sparse""","""0.6""",FALSE,3000,9,-750,750,-750,750,2400,3000,FALSE,0.62673431,2,5.819,0.040540176,291767.65,50140.51383,16.71350461,TRUE,FALSE,188.32,1919.294,90,63,27,0.3,12,0.444444444,1027.762574
80,"""sparse""","""0.6""",FALSE,3000,10,-750,750,-750,750,2400,3000,FALSE,0.610126583,4,5.819,0.069469104,499969.14,85920.11342,28.64003781,TRUE,FALSE,182.501,1914.403,101,69,32,0.316831683,14,0.4375,934.6810381
81,"""sparse""","""0.8""",TRUE,500,1,-750,750,-750,750,2400,500,TRUE,0.810980034,3,5.819,0.107786503,129289.91,22218.57879,44.43715759,FALSE,TRUE,69.106,1397.218,108,86,22,0.203703704,8,0.363636364,813.728199
82,"""sparse""","""0.8""",TRUE,500,2,-750,750,-750,750,2400,500,TRUE,0.819079425,8,5.819,0.06202381,74397.56,12785.28269,25.57056539,FALSE,TRUE,149.493,1516.698,109,86,23,0.211009174,7,0.304347826,757.552348
83,"""sparse""","""0.8""",TRUE,500,3,-750,750,-750,750,2400,500,TRUE,0.820529612,1,5.819,0.303051947,363510.81,62469.63568,124.9392714,FALSE,TRUE,36.635,1395.968,107,83,24,0.224299065,8,0.333333333,1016.29319
84,"""sparse""","""0.8""",TRUE,500,4,-750,750,-750,750,2400,500,TRUE,0.78498256,2,5.819,0.15374401,184415.94,31692.033,63.38406599,FALSE,TRUE,53.879,1381.919,107,87,20,0.186915888,12,0.6,757.4134936
85,"""sparse""","""0.8""",TRUE,500,5,-750,750,-750,750,2400,500,TRUE,0.80727733,1,5.819,0.112452614,134886.91,23180.42791,46.36085582,FALSE,TRUE,41.487,1431.393,109,88,21,0.19266055,11,0.523809524,828.3455733
86,"""sparse""","""0.8""",TRUE,500,6,-750,750,-750,750,2400,500,TRUE,0.777859449,3,5.819,0.109061084,130818.77,22481.31466,44.96262932,FALSE,TRUE,68.74,1439.107,113,98,15,0.132743363,8,0.533333333,788.2957544
87,"""sparse""","""0.8""",TRUE,500,7,-750,750,-750,750,2400,500,TRUE,0.808618682,5,5.819,0.11860732,142269.48,24449.12872,48.89825743,FALSE,TRUE,103.522,1463.388,98,75,23,0.234693878,6,0.260869565,820.1946117
88,"""sparse""","""0.8""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.807688176,3,5.819,0.355201551,426064.26,73219.4982,146.4389964,FALSE,TRUE,70.108,1437.481,97,79,18,0.18556701,10,0.555555556,648.1526582
89,"""sparse""","""0.8""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.780599277,12,5.819,0.030461025,36538,6279.085754,12.55817151,FALSE,TRUE,278.421,1737.915,92,79,13,0.141304348,5,0.384615385,708.8904284
90,"""sparse""","""0.8""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.820285833,2,5.819,0.225382868,270346.75,46459.31432,92.91862863,FALSE,TRUE,53.071,1525.475,106,80,26,0.245283019,16,0.615384615,803.923383
91,"""sparse""","""0.8""",TRUE,3000,1,-750,750,-750,750,2400,3000,TRUE,0.810980034,3,5.819,0.043748301,314856.52,54108.35539,18.03611846,TRUE,FALSE,196.876,2000.371,108,70,38,0.351851852,19,0.5,864.4680445
92,"""sparse""","""0.8""",TRUE,3000,2,-750,750,-750,750,2400,3000,TRUE,0.819079425,8,5.819,0.043041458,309769.37,53234.12442,17.74470814,TRUE,FALSE,184.759,1954.851,109,62,47,0.431192661,23,0.489361702,848.7777003
93,"""sparse""","""0.8""",TRUE,3000,3,-750,750,-750,750,2400,3000,TRUE,0.820529612,1,5.819,0.086240803,620675.06,106663.5264,35.55450879,TRUE,FALSE,183.898,2028.046,107,53,54,0.504672897,27,0.5,859.4628509
94,"""sparse""","""0.8""",TRUE,3000,4,-750,750,-750,750,2400,3000,TRUE,0.78498256,2,5.819,0.046813904,336919.67,57899.9261,19.29997537,TRUE,FALSE,185.274,2021.018,107,66,41,0.38317757,19,0.463414634,859.4059463
95,"""sparse""","""0.8""",TRUE,3000,5,-750,750,-750,750,2400,3000,TRUE,0.80727733,1,5.819,0.039691652,285660.82,49091.05001,16.36368334,TRUE,FALSE,198.481,1999.727,109,66,43,0.394495413,21,0.488372093,867.4333198
96,"""sparse""","""0.8""",TRUE,3000,6,-750,750,-750,750,2400,3000,TRUE,0.777859449,3,5.819,0.098160582,706461.71,121406.0337,40.46867789,TRUE,FALSE,186.307,1959.446,113,65,48,0.424778761,29,0.604166667,888.6996151
97,"""sparse""","""0.8""",TRUE,3000,7,-750,750,-750,750,2400,3000,TRUE,0.808618682,5,5.819,0.042390652,305085.52,52429.20089,17.4764003,TRUE,FALSE,190.527,2030.75,98,51,47,0.479591837,18,0.382978723,823.2511155
