BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2016 14:38:27:510 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,energy.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
45,"""dense""","""0.6""",,TRUE,500,5,0.610120965,1,43.17829222,5.18E+07,103584.72,FALSE,TRUE,53.287,1408.852,3303,3086,217,96,401.6267866,6328,4.93E+07,5253,9386.44,8378486.09,1000,8378.49
46,"""dense""","""0.6""",,TRUE,500,6,0.598330582,1,11.69511174,1.40E+07,28056.57,FALSE,TRUE,54.903,1408.178,3125,2902,223,81,452.9096679,5682,1.32E+07,5245,2510.71,2065655.94,842,2453.27
47,"""dense""","""0.6""",,TRUE,500,7,0.610731923,1,24.92647791,2.99E+07,59798.62,FALSE,TRUE,52.378,1409.039,3229,3007,222,87,370.7638104,6059,2.89E+07,5349,5396.32,3789379.61,840,4511.17
48,"""dense""","""0.6""",,TRUE,500,8,0.596366213,1,13.89475728,1.67E+07,33333.52,FALSE,TRUE,51.432,1418.573,3194,2971,223,95,354.9179829,6053,1.60E+07,5512,2896.93,2500688.67,978,2556.94
49,"""dense""","""0.6""",,TRUE,500,9,0.595405992,1,11.56079964,1.39E+07,27734.36,FALSE,TRUE,50.669,1468.842,3305,3110,195,70,378.2538053,5082,1.31E+07,4626,2824.76,2061326.58,733,2812.18
50,"""dense""","""0.6""",,TRUE,500,10,0.592323598,1,14.86352882,1.78E+07,35657.61,FALSE,TRUE,50.786,1467.685,3211,3016,195,72,426.1934055,5231,1.71E+07,4810,3558.93,2598202.87,741,3506.35
51,"""dense""","""0.6""",,TRUE,3000,1,0.610418758,1,12.9462925,9.32E+07,31058.16,TRUE,FALSE,216.044,2156.39,3253,2605,648,343,684.9014528,19807,8.69E+07,16579,5240.89,3.19E+07,6134,5201.14
52,"""dense""","""0.6""",,TRUE,3000,2,0.59627053,1,7.757556265,5.58E+07,18610.38,TRUE,FALSE,217.173,2150.746,3143,2509,634,339,701.5026728,19827,5.07E+07,17368,2916.29,1.63E+07,5869,2779.92
53,"""dense""","""0.6""",,TRUE,3000,3,0.594478956,1,16.54923469,1.19E+08,39701.61,TRUE,FALSE,217.658,2133.423,3161,2524,637,344,580.3312496,19945,1.10E+08,15878,6930.29,3.34E+07,5927,5633.44
54,"""dense""","""0.6""",,TRUE,3000,4,0.589466781,1,10.17300256,7.32E+07,24405.03,TRUE,FALSE,219.339,2132.302,3237,2591,646,337,576.1564594,19816,6.57E+07,16626,3954.27,1.97E+07,5877,3346.67
55,"""dense""","""0.6""",,TRUE,3000,5,0.610120965,1,18.53471203,1.33E+08,44464.77,TRUE,FALSE,208.158,2163.347,3303,2632,671,359,566.6211673,21428,1.21E+08,16613,7296.27,3.61E+07,6642,5435.77
56,"""dense""","""0.6""",,TRUE,3000,6,0.598330582,1,9.254547757,6.66E+07,22201.66,TRUE,FALSE,207.461,2140.215,3125,2483,642,345,543.5678431,20268,6.05E+07,17530,3453.73,1.91E+07,5921,3223.83
57,"""dense""","""0.6""",,TRUE,3000,7,0.610731923,1,11.37648516,8.19E+07,27292.19,TRUE,FALSE,217.168,2133.697,3229,2595,634,341,523.9489016,19990,7.60E+07,16152,4703.99,2.07E+07,5739,3605.18
58,"""dense""","""0.6""",,TRUE,3000,8,0.596366213,1,13.57998634,9.77E+07,32578.39,TRUE,FALSE,218.317,2138.148,3194,2542,652,343,555.8049564,20101,9.06E+07,16891,5365.15,3.22E+07,6271,5137.90
59,"""dense""","""0.6""",,TRUE,3000,9,0.595405992,1,11.72689263,8.44E+07,28132.82,TRUE,FALSE,220.009,2181.87,3305,2665,640,336,536.0707285,19559,7.82E+07,16452,4754.59,2.49E+07,5759,4315.52
60,"""dense""","""0.6""",,TRUE,3000,10,0.592323598,1,19.20168043,1.38E+08,46064.83,TRUE,FALSE,220.008,2158.342,3211,2574,637,334,556.8138219,19417,1.29E+08,15960,8052.38,3.67E+07,5883,6235.65
61,"""dense""","""0.6""",,FALSE,500,1,0.610418758,1,4.175950013,5009052.04,10018.10,TRUE,FALSE,210.105,2025.087,3253,3161,92,27,271.8124353,2440,0,0,0,576422.51,280,2058.65
62,"""dense""","""0.6""",,FALSE,500,2,0.59627053,1,4.678446586,5611796.68,11223.59,TRUE,FALSE,210.431,2019.857,3143,3049,94,31,288.882329,2611,0,0,0,536073.66,263,2038.30
63,"""dense""","""0.6""",,FALSE,500,3,0.594478956,1,6.832194098,8195216.82,16390.43,TRUE,FALSE,217.887,2035.011,3161,3068,93,32,349.2062428,2557,0,0,0,1121932.96,298,3764.88
64,"""dense""","""0.6""",,FALSE,500,4,0.589466781,1,7.22545574,8666934.16,17333.87,TRUE,FALSE,211.443,2039.741,3237,3134,103,32,336.4312708,2702,0,0,0,823518.83,273,3016.55
65,"""dense""","""0.6""",,FALSE,500,5,0.610120965,1,21.06075998,2.53E+07,50524.76,TRUE,FALSE,208.633,2018.139,3303,3198,105,35,320.2639536,2854,0,0,0,2712129.69,311,8720.67
