BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/10/2016 16:26:46:161 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,save_map,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
90,"""dense""","""0.8""",TRUE,500,10,TRUE,-750,750,-750,750,2400,0.791888934,1,0.448013306,537391.96,FALSE,TRUE,69.436,1600.637,3205,3066,139,51,362.2002209,3462,471683.69,3003,81728.05,567
91,"""dense""","""0.8""",TRUE,3000,1,TRUE,-750,750,-750,750,2400,0.806698545,2,0.313019707,2252802.83,TRUE,FALSE,232.169,2244.282,3255,2759,496,255,452.6035793,15100,1912542.43,12762,585100.61,4084
92,"""dense""","""0.8""",TRUE,3000,2,TRUE,-750,750,-750,750,2400,0.802298582,1,0.311283593,2240308.02,TRUE,FALSE,233.758,2252.226,3127,2637,490,244,520.7317524,14416,1891079.95,12048,619055.52,4194
93,"""dense""","""0.8""",TRUE,3000,3,TRUE,-750,750,-750,750,2400,0.775902382,1,0.27461537,1976406.82,TRUE,FALSE,206.423,2241.778,3293,2822,471,233,452.5220646,13972,1669028.63,11661,508128.79,3790
94,"""dense""","""0.8""",TRUE,3000,4,TRUE,-750,750,-750,750,2400,0.80212431,1,0.303996536,2187863.07,TRUE,FALSE,208.477,2255.612,3231,2735,496,258,476.7582659,15023,1853986.44,12590,623866.58,4419
95,"""dense""","""0.8""",TRUE,3000,5,TRUE,-750,750,-750,750,2400,0.77182884,1,0.303237025,2182396.87,TRUE,FALSE,223.446,2258.971,3194,2709,485,241,514.3598366,14622,1831120.64,12219,588528.47,4082
96,"""dense""","""0.8""",TRUE,3000,6,TRUE,-750,750,-750,750,2400,0.786175412,1,0.290380857,2089871.03,TRUE,FALSE,217.592,2258.881,3251,2782,469,238,453.4468016,14158,1744686.88,11734,573848.02,4096
97,"""dense""","""0.8""",TRUE,3000,7,TRUE,-750,750,-750,750,2400,0.778566654,1,0.338089655,2433231.25,TRUE,FALSE,210.03,2255.521,3234,2747,487,248,491.5367912,14859,2066587.83,12532,649696.76,4108
98,"""dense""","""0.8""",TRUE,3000,8,TRUE,-750,750,-750,750,2400,0.817159341,1,0.294669578,2120736.95,TRUE,FALSE,205.953,2263.157,3149,2693,456,237,451.154312,14223,1791624.72,11904,569851.15,3955
99,"""dense""","""0.8""",TRUE,3000,9,TRUE,-750,750,-750,750,2400,0.808955958,1,0.293062131,2109168.16,TRUE,FALSE,216.604,2190.824,3186,2708,478,242,444.2083889,14102,1782419.26,11847,527842.24,3754
100,"""dense""","""0.8""",TRUE,3000,10,TRUE,-750,750,-750,750,2400,0.791888934,1,0.305308661,2197306.43,TRUE,FALSE,213.363,2187.985,3205,2726,479,237,489.6365999,14073,1846267.4,11721,595333.33,3944
101,"""dense""","""0.8""",FALSE,500,1,TRUE,-750,750,-750,750,2400,0.806698545,2,0.32125589,385346.44,TRUE,FALSE,211.728,2107.28,3255,3152,103,28,353.8163365,2353,0,0,41652.49,257
102,"""dense""","""0.8""",FALSE,500,2,TRUE,-750,750,-750,750,2400,0.802298582,1,0.343246769,411724.5,TRUE,FALSE,211.192,2133.787,3127,3019,108,35,513.5142146,2656,0,0,55094.47,347
103,"""dense""","""0.8""",FALSE,500,3,TRUE,-750,750,-750,750,2400,0.775902382,1,0.305227011,366119.8,TRUE,FALSE,227.835,2123.68,3293,3190,103,33,228.8445366,2584,0,0,38533.49,285
104,"""dense""","""0.8""",FALSE,500,4,TRUE,-750,750,-750,750,2400,0.80212431,1,0.318714039,382297.49,TRUE,FALSE,232.213,2127.62,3231,3148,83,32,319.5169261,2575,0,0,38807.06,259
105,"""dense""","""0.8""",FALSE,500,5,TRUE,-750,750,-750,750,2400,0.77182884,1,0.32797629,393407.56,TRUE,FALSE,221.697,2143.518,3194,3091,103,32,292.8605551,2683,0,0,42729.11,290
106,"""dense""","""0.8""",FALSE,500,6,TRUE,-750,750,-750,750,2400,0.786175412,1,0.320601634,384561.66,TRUE,FALSE,211.089,2143.935,3251,3150,101,35,272.8827587,2740,0,0,42647.66,317
107,"""dense""","""0.8""",FALSE,500,7,TRUE,-750,750,-750,750,2400,0.778566654,1,0.277274556,332590.83,TRUE,FALSE,230.69,2128.337,3234,3141,93,29,237.4943484,2389,0,0,35007.08,258
