BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/2016 14:36:41:335 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-100,100,-100,100,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,nectar.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
92,"""dense""","""0.8""",,TRUE,3000,2,0.779439603,1,0.046627762,335580,111.86,TRUE,FALSE,239.121,2103.79,3276,2803,473,226,445.656211,13726,294619,11800,24.97,84048,3586,23.44
93,"""dense""","""0.8""",,TRUE,3000,3,0.806564235,1,0.041801445,300845,100.28,TRUE,FALSE,240.879,2117.208,3158,2737,421,191,433.6205102,12049,264555,10308,25.67,76640,3223,23.78
94,"""dense""","""0.8""",,TRUE,3000,4,0.794273236,1,0.0497863,358312,119.44,TRUE,FALSE,183.975,2119.264,3204,2733,471,217,467.426812,13615,314740,11742,26.8,93813,3732,25.14
95,"""dense""","""0.8""",,TRUE,3000,5,0.805254529,1,0.055796026,401564,133.85,TRUE,FALSE,189.693,2104.202,3188,2693,495,241,450.5873944,14298,355016,12435,28.55,104351,3867,26.99
96,"""dense""","""0.8""",,TRUE,3000,6,0.795916362,1,0.056148534,404101,134.70,TRUE,FALSE,236.298,2104.714,3190,2696,494,241,581.9248031,14614,353618,12576,28.12,106271,3969,26.78
97,"""dense""","""0.8""",,TRUE,3000,7,0.792639607,1,0.055543421,399746,133.25,TRUE,FALSE,237.159,2132.233,3202,2714,488,245,683.0462252,14818,351650,12855,27.36,102492,3907,26.23
98,"""dense""","""0.8""",,TRUE,3000,8,0.779860625,1,0.053817007,387321,129.11,TRUE,FALSE,189.676,2127.912,3250,2747,503,259,562.2499444,15312,342188,13267,25.79,102306,4282,23.89
99,"""dense""","""0.8""",,TRUE,3000,9,0.803638878,1,0.054136446,389620,129.87,TRUE,FALSE,188.629,2111.348,3190,2725,465,235,503.0996551,14503,340168,12466,27.29,106609,4106,25.96
100,"""dense""","""0.8""",,TRUE,3000,10,0.817737746,1,0.049041128,352949,117.65,TRUE,FALSE,240.827,2112.613,3116,2633,483,238,521.3108478,14540,308949,12520,24.68,89856,3975,22.61
101,"""dense""","""0.8""",,FALSE,500,1,0.795811559,1,0.064178408,76982,153.96,TRUE,FALSE,240.4,2040.294,3170,3068,102,31,336.1745338,2504,0,0,0,9743,297,32.8
102,"""dense""","""0.8""",,FALSE,500,2,0.779439603,1,0.05073614,60858,121.72,TRUE,FALSE,189.032,2047.561,3276,3166,110,30,364.3089348,2532,0,0,0,6506,276,23.57
103,"""dense""","""0.8""",,FALSE,500,3,0.806564235,1,0.038043351,45633,91.27,TRUE,FALSE,189.765,2037.074,3158,3080,78,25,264.9652923,2056,0,0,0,5155,230,22.41
104,"""dense""","""0.8""",,FALSE,500,4,0.794273236,1,0.056362651,67607,135.21,TRUE,FALSE,240.325,2063.481,3204,3117,87,25,421.123675,2320,0,0,0,6669,247,27
105,"""dense""","""0.8""",,FALSE,500,5,0.805254529,1,0.056661109,67965,135.93,TRUE,FALSE,239.105,2046.573,3188,3096,92,25,324.6074552,2327,0,0,0,6079,214,28.41
106,"""dense""","""0.8""",,FALSE,500,6,0.795916362,1,0.053312213,63948,127.90,TRUE,FALSE,188.041,2064.563,3190,3099,91,30,359.264178,2424,0,0,0,7192,261,27.56
107,"""dense""","""0.8""",,FALSE,500,7,0.792639607,1,0.059094623,70884,141.77,TRUE,FALSE,197.056,2050.584,3202,3103,99,31,315.7356489,2586,0,0,0,7303,271,26.95
108,"""dense""","""0.8""",,FALSE,500,8,0.779860625,1,0.057234681,68653,137.31,TRUE,FALSE,243.692,2034.397,3250,3153,97,31,275.0676347,2515,0,0,0,7428,273,27.21
109,"""dense""","""0.8""",,FALSE,500,9,0.803638878,1,0.053201334,63815,127.63,TRUE,FALSE,246.143,2059.326,3190,3093,97,32,266.8682644,2665,0,0,0,8205,313,26.21
110,"""dense""","""0.8""",,FALSE,500,10,0.817737746,1,0.054705294,65619,131.24,TRUE,FALSE,189.542,2051.134,3116,3025,91,33,325.4256357,2799,0,0,0,6758,285,23.71
111,"""dense""","""0.8""",,FALSE,3000,1,0.795811559,1,0.038421842,276522,92.17,TRUE,FALSE,188.289,2075.16,3170,2861,309,142,503.8209705,9520,0,0,0,54733,1851,29.57
112,"""dense""","""0.8""",,FALSE,3000,2,0.779439603,1,0.032824232,236236,78.75,TRUE,FALSE,237.189,2069.443,3276,2955,321,152,444.422263,9651,0,0,0,45108,1875,24.06
113,"""dense""","""0.8""",,FALSE,3000,3,0.806564235,1,0.030321384,218223,72.74,TRUE,FALSE,238.213,2093.623,3158,2869,289,135,411.3635861,8809,0,0,0,38823,1633,23.77
114,"""dense""","""0.8""",,FALSE,3000,4,0.794273236,1,0.032478533,233748,77.92,TRUE,FALSE,188.894,2093.394,3204,2889,315,139,419.6762734,9091,0,0,0,46130,1805,25.56
115,"""dense""","""0.8""",,FALSE,3000,5,0.805254529,1,0.035628039,256415,85.47,TRUE,FALSE,188.044,2076.254,3188,2869,319,144,473.9546392,9373,0,0,0,48511,1771,27.39
116,"""dense""","""0.8""",,FALSE,3000,6,0.795916362,1,0.036226622,260723,86.91,TRUE,FALSE,236.912,2074.303,3190,2876,314,148,422.2080246,9599,0,0,0,49913,1840,27.13
117,"""dense""","""0.8""",,FALSE,3000,7,0.792639607,1,0.034101848,245431,81.81,TRUE,FALSE,238.02,2092.089,3202,2893,309,142,470.1288059,9233,0,0,0,45823,1759,26.05
118,"""dense""","""0.8""",,FALSE,3000,8,0.779860625,1,0.033041684,237801,79.27,TRUE,FALSE,188.789,2020.914,3250,2945,305,151,410.2587935,9532,0,0,0,48107,1937,24.84
119,"""dense""","""0.8""",,FALSE,3000,9,0.803638878,1,0.034602612,249035,83.01,TRUE,FALSE,189.159,1960.938,3190,2881,309,153,428.8612829,9762,0,0,0,50924,1941,26.24
120,"""dense""","""0.8""",,FALSE,3000,10,0.817737746,1,0.030584827,220119,73.37,TRUE,FALSE,188.783,1921.847,3116,2809,307,142,404.2932104,9516,0,0,0,41126,1774,23.18
121,"""dense""","""1.0""",,TRUE,500,1,0.995530368,1,0.075464777,90520,181.04,FALSE,TRUE,29.226,1398.555,3159,3021,138,43,371.7324307,3483,81931,3114,26.31,10054,440,22.85
122,"""dense""","""1.0""",,TRUE,500,2,1.009939982,1,0.079239683,95048,190.10,FALSE,TRUE,25.966,1381.521,3157,3006,151,43,311.436992,3605,86078,3220,26.73,11219,464,24.18
123,"""dense""","""1.0""",,TRUE,500,3,0.991409551,1,0.095759066,114863,229.73,FALSE,TRUE,26.961,1378.537,3343,3184,159,60,276.0887538,4132,103765,3706,28,16768,619,27.09
124,"""dense""","""1.0""",,TRUE,500,4,1.00865609,1,0.09032847,108349,216.70,FALSE,TRUE,25.894,1368.673,3164,3011,153,53,303.389189,3995,98070,3591,27.31,14101,541,26.06
125,"""dense""","""1.0""",,TRUE,500,5,0.99472234,1,0.076932889,92281,184.56,FALSE,TRUE,25.501,1377.075,3298,3149,149,55,297.3612824,3888,82594,3429,24.09,10141,505,20.08
126,"""dense""","""1.0""",,TRUE,500,6,0.998009871,1,0.092219258,110617,221.23,FALSE,TRUE,25.732,1368.918,3264,3102,162,57,317.3722853,4108,101279,3720,27.23,14060,546,25.75
