BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2016 14:43:38:752 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles
99,"""sparse""","""0.8""",TRUE,3000,9,-750,750,-750,750,2400,3000,TRUE,0.780599277,12,5.819,0.0147978,106499.77,TRUE,FALSE,190.739,2003.144,92,61,13,859.5709184
100,"""sparse""","""0.8""",TRUE,3000,10,-750,750,-750,750,2400,3000,TRUE,0.820285833,2,5.819,0.075042971,540084.26,TRUE,FALSE,185.879,1949.194,106,54,29,1019.841816
101,"""sparse""","""0.8""",FALSE,500,1,-750,750,-750,750,2400,500,FALSE,0.810980034,3,5.819,0.09890386,118635.18,TRUE,FALSE,192.403,2031.163,108,94,8,706.7525678
102,"""sparse""","""0.8""",FALSE,500,2,-750,750,-750,750,2400,500,FALSE,0.819079425,8,5.819,0.055550279,66632.56,TRUE,FALSE,192.507,2011.95,109,93,2,600.2641209
103,"""sparse""","""0.8""",FALSE,500,3,-750,750,-750,750,2400,500,FALSE,0.820529612,1,5.819,0.113593072,136254.89,TRUE,FALSE,196.018,1991.156,107,89,7,820.2214699
104,"""sparse""","""0.8""",FALSE,500,4,-750,750,-750,750,2400,500,FALSE,0.78498256,2,5.819,0.079203326,95004.39,TRUE,FALSE,199.029,1947.118,107,90,4,798.0578517
105,"""sparse""","""0.8""",FALSE,500,5,-750,750,-750,750,2400,500,FALSE,0.80727733,1,5.819,0.104326895,125140.11,TRUE,FALSE,190.507,2029.454,109,92,7,868.8758685
106,"""sparse""","""0.8""",FALSE,500,6,-750,750,-750,750,2400,500,FALSE,0.777859449,3,5.819,0.08796476,105513.73,TRUE,FALSE,184.08,2000.576,113,97,4,752.671829
107,"""sparse""","""0.8""",FALSE,500,7,-750,750,-750,750,2400,500,FALSE,0.808618682,5,5.819,0.071871205,86209.51,TRUE,FALSE,205.587,1994.728,98,84,2,886.0908609
108,"""sparse""","""0.8""",FALSE,500,8,-750,750,-750,750,2400,500,FALSE,0.807688176,3,5.819,0.300241992,360140.27,TRUE,FALSE,207.176,1936.283,97,85,5,761.0123913
