BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2016 16:41:18:117 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,J-per-microL,nectar-influx,hive-collected,collected nectar (mL),,imported,exported,timer-post-setup,timer,resources,untouched resources,depleted resources,max [dist-hive-max] of turtles
62,"""dense""","""0.6""",FALSE,500,2,-750,750,-750,750,2400,0.613878198,1,5.819,2.614872363,3136539.4,539016.91,107.80,TRUE,FALSE,174.886,1792.315,3186,2998,66,361.3752121
63,"""dense""","""0.6""",FALSE,500,3,-750,750,-750,750,2400,0.604229844,1,5.819,1.756960133,2107473.68,362171.11,72.43,TRUE,FALSE,168.309,1781.066,3315,3124,75,342.7116314
64,"""dense""","""0.6""",FALSE,500,4,-750,750,-750,750,2400,0.617258128,1,5.819,2.071805461,2485130.65,427071.77,85.41,TRUE,FALSE,174.682,1874.619,3001,2832,56,371.6046719
65,"""dense""","""0.6""",FALSE,500,5,-750,750,-750,750,2400,0.606457683,1,5.819,2.071215531,2484423.03,426950.17,85.39,TRUE,FALSE,201.193,1822.569,3250,3090,55,387.490645
66,"""dense""","""0.6""",FALSE,500,6,-750,750,-750,750,2400,0.581764088,1,5.819,1.681963985,2017515.8,346711.77,69.34,TRUE,FALSE,168.052,1764.082,3207,3019,64,456.9593945
67,"""dense""","""0.6""",FALSE,500,7,-750,750,-750,750,2400,0.597584464,1,5.819,1.2414007,1489060.14,255896.23,51.18,TRUE,FALSE,175.363,1893.341,3214,3043,64,448.8411721
68,"""dense""","""0.6""",FALSE,500,8,-750,750,-750,750,2400,0.572420355,1,5.819,4.193878058,5030556.73,864505.37,172.90,TRUE,FALSE,176.509,1844.439,3250,3067,64,364.9719751
69,"""dense""","""0.6""",FALSE,500,9,-750,750,-750,750,2400,0.612045816,1,5.819,2.02923233,2434064.18,418295.96,83.66,TRUE,FALSE,210.867,1862.342,3149,2981,63,350.2573313
70,"""dense""","""0.6""",FALSE,500,10,-750,750,-750,750,2400,0.580671658,1,5.819,3.50920436,4209290.63,723370.10,144.67,TRUE,FALSE,174.663,1922.031,3318,3144,61,429.6798635
71,"""dense""","""0.6""",FALSE,3000,1,-750,750,-750,750,2400,0.594937163,1,5.819,2.606357657,3126326.01,537261.73,17.91,TRUE,FALSE,242.269,1871.819,3259,3091,66,315.2394049
72,"""dense""","""0.6""",FALSE,3000,2,-750,750,-750,750,2400,0.613878198,1,5.819,2.614872363,3136539.4,539016.91,17.97,TRUE,FALSE,167.941,1765.868,3186,2998,66,361.3752121
73,"""dense""","""0.6""",FALSE,3000,3,-750,750,-750,750,2400,0.604229844,1,5.819,1.756960133,2107473.68,362171.11,12.07,TRUE,FALSE,178.018,1909.586,3315,3124,75,342.7116314
74,"""dense""","""0.6""",FALSE,3000,4,-750,750,-750,750,2400,0.617258128,1,5.819,2.071805461,2485130.65,427071.77,14.24,TRUE,FALSE,178.572,1860.977,3001,2832,56,371.6046719
75,"""dense""","""0.6""",FALSE,3000,5,-750,750,-750,750,2400,0.606457683,1,5.819,2.071215531,2484423.03,426950.17,14.23,TRUE,FALSE,212.659,1810.603,3250,3090,55,387.490645
76,"""dense""","""0.6""",FALSE,3000,6,-750,750,-750,750,2400,0.581764088,1,5.819,1.681963985,2017515.8,346711.77,11.56,TRUE,FALSE,175.195,1859.287,3207,3019,64,456.9593945
77,"""dense""","""0.6""",FALSE,3000,7,-750,750,-750,750,2400,0.597584464,1,5.819,1.2414007,1489060.14,255896.23,8.53,TRUE,FALSE,176.431,1806.421,3214,3043,64,448.8411721
78,"""dense""","""0.6""",FALSE,3000,8,-750,750,-750,750,2400,0.572420355,1,5.819,4.193878058,5030556.73,864505.37,28.82,TRUE,FALSE,168.362,1796.273,3250,3067,64,364.9719751
