BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,save_map,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,,dance-quality,dance-quantity,,random-quality,random-quantity,
54,"""dense""","""0.6""",TRUE,3000,4,TRUE,-750,750,-750,750,2400,0.573485052,3,0.288036396,2072997.94,TRUE,FALSE,223.158,2203.929,3263,2795,468,230,456.3846835,13921,148.9115681,1743065.15,11526,151.2289736,576851.41,3941,146.3718371
55,"""dense""","""0.6""",TRUE,3000,5,TRUE,-750,750,-750,750,2400,0.594215145,1,0.254666123,1832832.09,TRUE,FALSE,205.335,2186.564,3260,2796,464,218,510.6540063,13412,136.6561356,1546146.79,11157,138.5808721,459923.31,3612,127.3320349
56,"""dense""","""0.6""",TRUE,3000,6,TRUE,-750,750,-750,750,2400,0.586979065,1,0.277985918,2000664.65,TRUE,FALSE,212.497,2207.725,3193,2692,501,230,598.5323717,14123,141.6600333,1671488.76,11655,143.413879,542280.05,4009,135.2656648
57,"""dense""","""0.6""",TRUE,3000,7,TRUE,-750,750,-750,750,2400,0.614592828,1,0.256304983,1844626.96,TRUE,FALSE,217.79,2188.672,3185,2745,440,221,597.4177336,13343,138.2467931,1543167.13,11071,139.3882332,482617.11,3672,131.4316748
58,"""dense""","""0.6""",TRUE,3000,8,TRUE,-750,750,-750,750,2400,0.612906381,1,0.311541779,2242166.18,TRUE,FALSE,217.901,2192.052,3188,2712,476,240,640.019531,14322,156.5539855,1894573.03,11970,158.2767778,608937.1,3977,153.1146844
59,"""dense""","""0.6""",TRUE,3000,9,TRUE,-750,750,-750,750,2400,0.571748898,1,0.302603133,2177834.75,TRUE,FALSE,206.921,2184.909,3279,2792,487,228,541.6350985,14237,152.9700604,1836066.76,11889,154.4340786,574854.65,3830,150.0925979
60,"""dense""","""0.6""",TRUE,3000,10,TRUE,-750,750,-750,750,2400,0.605057724,1,0.31469044,2264827.1,TRUE,FALSE,204.373,2197.099,3225,2723,502,237,519.0145165,14420,157.0615187,1904775.02,12022,158.4407769,616874.41,4024,153.2988096
61,"""dense""","""0.6""",FALSE,500,1,TRUE,-750,750,-750,750,2400,0.621021871,1,0.316531105,379679.06,TRUE,FALSE,215.899,2119.084,3110,3011,99,33,280.4502425,2467,153.9031455,0,0,#DIV/0!,38876.75,267,145.6058052
62,"""dense""","""0.6""",FALSE,500,2,TRUE,-750,750,-750,750,2400,0.628568777,1,0.269368762,323107.83,TRUE,FALSE,216.059,2125.754,3140,3040,100,32,442.8491423,2515,128.4722982,0,0,#DIV/0!,39901.11,301,132.5618272
63,"""dense""","""0.6""",FALSE,500,3,TRUE,-750,750,-750,750,2400,0.594911406,1,0.304213472,364904.06,TRUE,FALSE,206.405,2119.501,3154,3052,102,30,409.0737935,2503,145.78668,0,0,#DIV/0!,36974,259,142.7567568
64,"""dense""","""0.6""",FALSE,500,4,TRUE,-750,750,-750,750,2400,0.573485052,3,0.293300567,351814.03,TRUE,FALSE,208.819,2128.644,3263,3163,100,30,296.0665934,2419,145.4377966,0,0,#DIV/0!,45382.87,307,147.8269381
65,"""dense""","""0.6""",FALSE,500,5,TRUE,-750,750,-750,750,2400,0.594215145,1,0.259942501,311801.03,TRUE,FALSE,220.444,2122.654,3260,3178,82,25,265.8721497,2234,139.5707386,0,0,#DIV/0!,33057.94,239,138.3177406
66,"""dense""","""0.6""",FALSE,500,6,TRUE,-750,750,-750,750,2400,0.586979065,1,0.314978266,377816.43,TRUE,FALSE,212.13,2114.668,3193,3093,100,29,298.0218376,2706,139.6217406,0,0,#DIV/0!,37963.22,274,138.5518978
67,"""dense""","""0.6""",FALSE,500,7,TRUE,-750,750,-750,750,2400,0.614592828,1,0.273141384,327633.09,TRUE,FALSE,202.918,2116.496,3185,3081,104,27,299.0316441,2491,131.5267322,0,0,#DIV/0!,37357.98,289,129.2663668
68,"""dense""","""0.6""",FALSE,500,8,TRUE,-750,750,-750,750,2400,0.612906381,1,0.306062426,367121.88,TRUE,FALSE,204.699,2123.637,3188,3094,94,25,290.299845,2431,151.0168161,0,0,#DIV/0!,34047.12,238,143.0551261
69,"""dense""","""0.6""",FALSE,500,9,TRUE,-750,750,-750,750,2400,0.571748898,1,0.370722259,444681.35,TRUE,FALSE,218.554,2129.958,3279,3181,98,29,314.8031131,2626,169.3379094,0,0,#DIV/0!,46004.96,272,169.1358824
70,"""dense""","""0.6""",FALSE,500,10,TRUE,-750,750,-750,750,2400,0.605057724,1,0.318350646,381861.6,TRUE,FALSE,218.042,2126.071,3225,3126,99,26,243.9491619,2597,147.0395071,0,0,#DIV/0!,39528.51,274,144.264635
71,"""dense""","""0.6""",FALSE,3000,1,TRUE,-750,750,-750,750,2400,0.621021871,1,0.190286062,1369488.79,TRUE,FALSE,199.95,2151.824,3110,2804,306,133,533.6855503,8883,154.1696263,0,0,#DIV/0!,256694.35,1698,151.1745289
72,"""dense""","""0.6""",FALSE,3000,2,TRUE,-750,750,-750,750,2400,0.628568777,1,0.195398776,1406284.99,TRUE,FALSE,202.05,2169.794,3140,2824,316,158,499.1552865,9777,143.8360428,0,0,#DIV/0!,282611.74,1988,142.1588229
73,"""dense""","""0.6""",FALSE,3000,3,TRUE,-750,750,-750,750,2400,0.594911406,1,0.163087421,1173740.17,TRUE,FALSE,219.593,2162.265,3154,2850,304,130,489.00409,8673,135.3326611,0,0,#DIV/0!,220714.91,1632,135.2419792
74,"""dense""","""0.6""",FALSE,3000,4,TRUE,-750,750,-750,750,2400,0.573485052,3,0.180910677,1302014.14,TRUE,FALSE,216.504,2159.808,3263,2955,308,139,500.8013578,9223,141.1703502,0,0,#DIV/0!,256031.81,1790,143.0345307
75,"""dense""","""0.6""",FALSE,3000,5,TRUE,-750,750,-750,750,2400,0.594215145,1,0.174354417,1254828.74,TRUE,FALSE,206.035,2158.213,3260,2946,314,135,440.7086223,9271,135.3498803,0,0,#DIV/0!,240878.17,1793,134.3436531
76,"""dense""","""0.6""",FALSE,3000,6,TRUE,-750,750,-750,750,2400,0.586979065,1,0.19007151,1367944.66,TRUE,FALSE,203.398,2173.423,3193,2859,334,159,471.8149283,10060,135.9785944,0,0,#DIV/0!,271439.3,2005,135.381197
77,"""dense""","""0.6""",FALSE,3000,7,TRUE,-750,750,-750,750,2400,0.614592828,1,0.178130399,1282004.48,TRUE,FALSE,228.031,2159.571,3185,2867,318,141,458.4557553,9593,133.6395789,0,0,#DIV/0!,240499.87,1843,130.4936896
78,"""dense""","""0.6""",FALSE,3000,8,TRUE,-750,750,-750,750,2400,0.612906381,1,0.218651752,1573636.66,TRUE,FALSE,223.11,2142.676,3188,2846,342,156,418.3758815,10281,153.0626068,0,0,#DIV/0!,293057.43,1966,149.0627823
79,"""dense""","""0.6""",FALSE,3000,9,TRUE,-750,750,-750,750,2400,0.571748898,1,0.196939854,1417376.13,TRUE,FALSE,201.6,2071.846,3279,2969,310,137,426.5363993,9243,153.3458974,0,0,#DIV/0!,276978.68,1817,152.4373583
80,"""dense""","""0.6""",FALSE,3000,10,TRUE,-750,750,-750,750,2400,0.605057724,1,0.214699893,1545195.13,TRUE,FALSE,205.455,2062.158,3225,2893,332,159,499.8079631,10030,154.057341,0,0,#DIV/0!,303060.52,1981,152.9836042
81,"""dense""","""0.8""",TRUE,500,1,TRUE,-750,750,-750,750,2400,0.785919398,1,0.42603694,511031.31,FALSE,TRUE,63.132,1472.363,3152,2995,157,45,330.7113545,3460,147.6969104,448913.36,3025,148.4011107,59627.43,450,132.5054
82,"""dense""","""0.8""",TRUE,500,2,TRUE,-750,750,-750,750,2400,0.813379888,1,0.51882782,622333.97,FALSE,TRUE,64.131,1472.087,3154,3002,152,58,371.1401353,4013,155.0794842,552674.31,3542,156.0345313,85114.89,578,147.2575952
84,"""dense""","""0.8""",TRUE,500,4,TRUE,-750,750,-750,750,2400,0.804121989,1,0.463622518,556115.21,FALSE,TRUE,64.679,1427.884,3205,3051,154,53,407.8662243,3788,146.8097175,488259.95,3298,148.0472862,68914.36,504,136.7348413
85,"""dense""","""0.8""",TRUE,500,5,TRUE,-750,750,-750,750,2400,0.795333186,1,0.501769454,601872.46,FALSE,TRUE,64.194,1412.982,3279,3107,172,57,323.4712373,3990,150.8452281,534831.55,3523,151.8113965,80942.43,566,143.0078269
86,"""dense""","""0.8""",TRUE,500,6,TRUE,-750,750,-750,750,2400,0.781258401,1,0.360466586,432379.67,FALSE,TRUE,63.66,1404.501,3223,3088,135,50,347.5307018,3667,117.911009,375534.02,3142,119.5206938,59045.21,523,112.8971511
87,"""dense""","""0.8""",TRUE,500,7,TRUE,-750,750,-750,750,2400,0.822042221,1,0.459784352,551511.33,FALSE,TRUE,58.452,1394.292,3180,3029,151,49,354.2033314,3697,149.1780714,486506.8,3238,150.2491662,61501.42,447,137.5870694
88,"""dense""","""0.8""",TRUE,500,8,TRUE,-750,750,-750,750,2400,0.795244741,1,0.582182301,698327.67,FALSE,TRUE,59.154,1385.22,3238,3061,177,62,365.0588994,4507,154.9429044,625153.66,4025,155.3176795,90049.32,628,143.3906369
89,"""dense""","""0.8""",TRUE,500,9,TRUE,-750,750,-750,750,2400,0.776844074,1,0.401344268,481412.45,FALSE,TRUE,57.959,1381.632,3205,3064,141,43,409.6056175,3222,149.4141682,417362.58,2771,150.6180368,68693.33,480,143.1111042
90,"""dense""","""0.8""",TRUE,500,10,TRUE,-750,750,-750,750,2400,0.806040562,1,0.501479817,601525.04,FALSE,TRUE,63.625,1464.677,3201,3042,159,59,388.1249799,3980,151.1369447,534245.37,3512,152.1199801,76223.52,549,138.8406557
91,"""dense""","""0.8""",TRUE,3000,1,TRUE,-750,750,-750,750,2400,0.785919398,1,0.268633154,1933352.81,TRUE,FALSE,210.292,1973.378,3152,2694,458,224,490.7233174,13668,141.4510397,1624061.12,11360,142.9631268,495645.21,3657,135.5332814
92,"""dense""","""0.8""",TRUE,3000,2,TRUE,-750,750,-750,750,2400,0.813379888,1,0.309881324,2230215.89,TRUE,FALSE,216.09,1982.689,3154,2669,485,235,440.9944102,14476,154.0629932,1884532.05,12134,155.310042,610856.35,4054,150.6799087
93,"""dense""","""0.8""",TRUE,3000,3,TRUE,-750,750,-750,750,2400,0.79612838,1,0.297499594,2141104.58,TRUE,FALSE,188.417,1983.691,3154,2697,457,240,511.0469646,14291,149.8218865,1799883.78,11893,151.3397612,547190.34,3864,141.6124068
