BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,hi,,,,,,,,,,,,,,,,,,,,,,,
03/22/2016 15:40:27:356 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,depleted resources,max [dist-hive-max] of turtles
46,"""dense""","""0.6""",TRUE,500,6,-750,750,-750,750,2400,500,TRUE,0.599948454,1,5.819,2.071398783,2484642.84,426987.9429,853.9758858,FALSE,TRUE,43.143,1412.631,3184,3005,179,75,404.4613702
47,"""dense""","""0.6""",TRUE,500,7,-750,750,-750,750,2400,500,TRUE,0.616971048,1,5.819,1.738606594,2085458.61,358387.8003,716.7756006,FALSE,TRUE,46.307,1412.912,3195,3031,164,60,364.9491586
48,"""dense""","""0.6""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.614236602,1,5.819,6.256318374,7504453.89,1289646.656,2579.293312,FALSE,TRUE,49.106,1473.286,3119,2940,179,74,490.9674124
49,"""dense""","""0.6""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.603814549,1,5.819,5.022174173,6024097.92,1035246.248,2070.492496,FALSE,TRUE,43.925,1510.936,3194,3018,176,64,327.6218405
50,"""dense""","""0.6""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.620645011,1,5.819,2.161984385,2593300.27,445660.8129,891.3216258,FALSE,TRUE,45.631,1521.637,3208,3030,178,64,440.0550801
51,"""dense""","""0.6""",TRUE,3000,1,-750,750,-750,750,2400,3000,TRUE,0.60401462,1,5.819,1.436440383,1.03E+07,1776604.475,592.2014917,TRUE,FALSE,181.248,2174.55,3214,2653,561,294,678.3877947
52,"""dense""","""0.6""",TRUE,3000,2,-750,750,-750,750,2400,3000,TRUE,0.621047413,1,5.819,1.895863085,1.36E+07,2344823.272,781.6077573,TRUE,FALSE,218.225,2180.137,3230,2672,558,283,569.197681
53,"""dense""","""0.6""",TRUE,3000,3,-750,750,-750,750,2400,3000,TRUE,0.574431336,2,5.819,1.175120711,8457343.76,1453401.574,484.4671913,TRUE,FALSE,277.188,2165.504,3300,2760,540,283,589.4336265
54,"""dense""","""0.6""",TRUE,3000,4,-750,750,-750,750,2400,3000,TRUE,0.608109928,1,5.819,1.839503092,1.32E+07,2275116.644,758.3722147,TRUE,FALSE,277.086,2164.187,3166,2646,520,262,560.6504023
55,"""dense""","""0.6""",TRUE,3000,5,-750,750,-750,750,2400,3000,TRUE,0.605366103,2,5.819,1.997664884,1.44E+07,2470732.801,823.5776003,TRUE,FALSE,182.73,2157.576,3224,2688,536,285,535.5370065
56,"""dense""","""0.6""",TRUE,3000,6,-750,750,-750,750,2400,3000,TRUE,0.599948454,1,5.819,1.624604054,1.17E+07,2009327.269,669.7757563,TRUE,FALSE,221.659,2150.76,3184,2643,541,279,520.205775
57,"""dense""","""0.6""",TRUE,3000,7,-750,750,-750,750,2400,3000,TRUE,0.616971048,1,5.819,2.511381021,1.81E+07,3106102.287,1035.367429,TRUE,FALSE,235.625,2127.577,3195,2658,537,261,475.6563886
58,"""dense""","""0.6""",TRUE,3000,8,-750,750,-750,750,2400,3000,TRUE,0.614236602,1,5.819,2.20810765,1.59E+07,2731010.614,910.3368713,TRUE,FALSE,235.357,2129.423,3119,2599,520,265,499.2474336
59,"""dense""","""0.6""",TRUE,3000,9,-750,750,-750,750,2400,3000,TRUE,0.603814549,1,5.819,2.236215558,1.61E+07,2765774.767,921.9249223,TRUE,FALSE,183.751,2135.78,3194,2670,524,265,509.1798776
60,"""dense""","""0.6""",TRUE,3000,10,-750,750,-750,750,2400,3000,TRUE,0.620645011,1,5.819,1.208299701,8696132.95,1494437.695,498.1458983,TRUE,FALSE,222.184,2132.472,3208,2656,552,265,562.4962222
61,"""dense""","""0.6""",FALSE,500,1,-750,750,-750,750,2400,500,FALSE,0.60401462,1,5.819,0.945350029,1133947.36,194869.7989,389.7395978,TRUE,FALSE,216.323,2024.749,3214,3116,98,32,251.911411
62,"""dense""","""0.6""",FALSE,500,2,-750,750,-750,750,2400,500,FALSE,0.621047413,1,5.819,1.571211471,1884668.16,323881.7941,647.7635882,TRUE,FALSE,216.011,2025.495,3230,3141,89,28,274.375266
63,"""dense""","""0.6""",FALSE,500,3,-750,750,-750,750,2400,500,FALSE,0.574431336,2,5.819,0.677160133,812253.58,139586.4547,279.1729094,TRUE,FALSE,182.353,2088.994,3300,3210,90,23,481.6739692
64,"""dense""","""0.6""",FALSE,500,4,-750,750,-750,750,2400,500,FALSE,0.608109928,1,5.819,1.517703135,1820484.91,312851.8491,625.7036982,TRUE,FALSE,221.694,2084.953,3166,3073,93,28,372.5815347
65,"""dense""","""0.6""",FALSE,500,5,-750,750,-750,750,2400,500,FALSE,0.605366103,2,5.819,0.789109104,946536.37,162663.0641,325.3261282,TRUE,FALSE,257.414,2073.897,3224,3130,94,30,291.1979736
66,"""dense""","""0.6""",FALSE,500,6,-750,750,-750,750,2400,500,FALSE,0.599948454,1,5.819,1.372338391,1646119.9,282887.0768,565.7741536,TRUE,FALSE,257.569,2074.221,3184,3096,88,31,312.7059668
67,"""dense""","""0.6""",FALSE,500,7,-750,750,-750,750,2400,500,FALSE,0.616971048,1,5.819,0.932830729,1118930.46,192289.1322,384.5782644,TRUE,FALSE,181.437,2070.795,3195,3103,92,30,318.5339169
68,"""dense""","""0.6""",FALSE,500,8,-750,750,-750,750,2400,500,FALSE,0.614236602,1,5.819,5.314406036,6374630.04,1095485.485,2190.97097,TRUE,FALSE,221.372,2065.552,3119,3018,101,41,351.1267577
69,"""dense""","""0.6""",FALSE,500,9,-750,750,-750,750,2400,500,FALSE,0.603814549,1,5.819,2.576218658,3090174.28,531049.0256,1062.098051,TRUE,FALSE,234.959,2046.804,3194,3095,99,26,292.0732575
70,"""dense""","""0.6""",FALSE,500,10,-750,750,-750,750,2400,500,FALSE,0.620645011,1,5.819,1.370743985,1644207.41,282558.4138,565.1168276,TRUE,FALSE,236.671,2045.791,3208,3104,104,39,260.9693469
71,"""dense""","""0.6""",FALSE,3000,1,-750,750,-750,750,2400,3000,FALSE,0.60401462,1,5.819,0.950912391,6843716.48,1176098.381,392.0327937,TRUE,FALSE,182.623,2086.209,3214,2863,351,162,464.0107757
72,"""dense""","""0.6""",FALSE,3000,2,-750,750,-750,750,2400,3000,FALSE,0.621047413,1,5.819,1.155842551,8318598.84,1429558.144,476.5193813,TRUE,FALSE,221.709,2084.403,3230,2908,322,146,446.6409884
73,"""dense""","""0.6""",FALSE,3000,3,-750,750,-750,750,2400,3000,FALSE,0.574431336,2,5.819,0.527487375,3796326.64,652401.8972,217.4672991,TRUE,FALSE,215.223,2060.932,3300,2995,305,146,453.2425719
74,"""dense""","""0.6""",FALSE,3000,4,-750,750,-750,750,2400,3000,FALSE,0.608109928,1,5.819,1.148684453,8267082.01,1420704.934,473.5683113,TRUE,FALSE,215.005,2067.737,3166,2849,317,151,477.282504
75,"""dense""","""0.6""",FALSE,3000,5,-750,750,-750,750,2400,3000,FALSE,0.605366103,2,5.819,1.134688804,8166355.32,1403394.968,467.7983227,TRUE,FALSE,181.897,2103.518,3224,2920,304,146,481.1554484
76,"""dense""","""0.6""",FALSE,3000,6,-750,750,-750,750,2400,3000,FALSE,0.599948454,1,5.819,0.806568865,5804876.12,997572.7995,332.5242665,TRUE,FALSE,220.76,2096.986,3184,2860,324,152,384.2158621
77,"""dense""","""0.6""",FALSE,3000,7,-750,750,-750,750,2400,3000,FALSE,0.616971048,1,5.819,1.420680923,1.02E+07,1757113.009,585.7043363,TRUE,FALSE,231.222,2082.166,3195,2856,339,144,499.7729484
78,"""dense""","""0.6""",FALSE,3000,8,-750,750,-750,750,2400,3000,FALSE,0.614236602,1,5.819,1.393661512,1.00E+07,1723695.119,574.5650397,TRUE,FALSE,232.068,2080.952,3119,2790,329,143,441.1218913
79,"""dense""","""0.6""",FALSE,3000,9,-750,750,-750,750,2400,3000,FALSE,0.603814549,1,5.819,1.325504437,9539655.43,1639397.737,546.4659123,TRUE,FALSE,180.725,2001.047,3194,2872,322,142,521.4009518
