"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"resource_nums"
"02/16/2016 16:29:37:581 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","resource_density","patchiness","c1_mult","c2_mult","calc_R","[step]","num-patches-r","count patches with [resource?]"
"191","""sparse""","1","121","41","false","1","44.532888","50"
"192","""sparse""","1","121","41","false","1","44.532888","52"
"193","""sparse""","1","121","41","false","1","44.532888","35"
"194","""sparse""","1","121","41","false","1","44.532888","42"
"195","""sparse""","1","121","41","false","1","44.532888","49"
"197","""sparse""","1","121","41","false","1","44.532888","46"
"198","""sparse""","1","121","41","false","1","44.532888","53"
"196","""sparse""","1","121","41","false","1","44.532888","47"
"199","""sparse""","1","121","41","false","1","44.532888","34"
"200","""sparse""","1","121","41","false","1","44.532888","33"
"202","""sparse""","1","121","81","false","1","44.532888","55"
"201","""sparse""","1","121","81","false","1","44.532888","42"
"204","""sparse""","1","121","81","false","1","44.532888","42"
"203","""sparse""","1","121","81","false","1","44.532888","42"
"205","""sparse""","1","121","81","false","1","44.532888","52"
"206","""sparse""","1","121","81","false","1","44.532888","48"
"207","""sparse""","1","121","81","false","1","44.532888","37"
"208","""sparse""","1","121","81","false","1","44.532888","38"
"209","""sparse""","1","121","81","false","1","44.532888","49"
"210","""sparse""","1","121","81","false","1","44.532888","28"
"211","""sparse""","1","121","121","false","1","44.532888","40"
"213","""sparse""","1","121","121","false","1","44.532888","45"
"212","""sparse""","1","121","121","false","1","44.532888","45"
"215","""sparse""","1","121","121","false","1","44.532888","43"
"214","""sparse""","1","121","121","false","1","44.532888","37"
"216","""sparse""","1","121","121","false","1","44.532888","53"
"217","""sparse""","1","121","121","false","1","44.532888","44"
"218","""sparse""","1","121","121","false","1","44.532888","44"
"219","""sparse""","1","121","121","false","1","44.532888","51"
"220","""sparse""","1","121","121","false","1","44.532888","48"
"221","""sparse""","1","121","161","false","1","44.532888","52"
"222","""sparse""","1","121","161","false","1","44.532888","45"
"223","""sparse""","1","121","161","false","1","44.532888","34"
"225","""sparse""","1","121","161","false","1","44.532888","43"
"224","""sparse""","1","121","161","false","1","44.532888","50"
"226","""sparse""","1","121","161","false","1","44.532888","52"
"227","""sparse""","1","121","161","false","1","44.532888","53"
"228","""sparse""","1","121","161","false","1","44.532888","37"
"230","""sparse""","1","121","161","false","1","44.532888","47"
"229","""sparse""","1","121","161","false","1","44.532888","35"
"232","""sparse""","1","121","201","false","1","44.532888","46"
"233","""sparse""","1","121","201","false","1","44.532888","39"
"231","""sparse""","1","121","201","false","1","44.532888","39"
"234","""sparse""","1","121","201","false","1","44.532888","43"
"235","""sparse""","1","121","201","false","1","44.532888","33"
"236","""sparse""","1","121","201","false","1","44.532888","48"
"237","""sparse""","1","121","201","false","1","44.532888","42"
"238","""sparse""","1","121","201","false","1","44.532888","46"
"239","""sparse""","1","121","201","false","1","44.532888","51"
"240","""sparse""","1","121","201","false","1","44.532888","49"
"241","""sparse""","1","161","1","false","1","44.532888","53"
"243","""sparse""","1","161","1","false","1","44.532888","37"
"242","""sparse""","1","161","1","false","1","44.532888","38"
"244","""sparse""","1","161","1","false","1","44.532888","42"
"245","""sparse""","1","161","1","false","1","44.532888","47"
"247","""sparse""","1","161","1","false","1","44.532888","56"
"248","""sparse""","1","161","1","false","1","44.532888","46"
"246","""sparse""","1","161","1","false","1","44.532888","36"
"250","""sparse""","1","161","1","false","1","44.532888","49"
"252","""sparse""","1","161","41","false","1","44.532888","48"
"249","""sparse""","1","161","1","false","1","44.532888","54"
"251","""sparse""","1","161","41","false","1","44.532888","43"
"253","""sparse""","1","161","41","false","1","44.532888","43"
"254","""sparse""","1","161","41","false","1","44.532888","57"
"255","""sparse""","1","161","41","false","1","44.532888","52"
"256","""sparse""","1","161","41","false","1","44.532888","43"
"257","""sparse""","1","161","41","false","1","44.532888","44"
"258","""sparse""","1","161","41","false","1","44.532888","46"
"260","""sparse""","1","161","41","false","1","44.532888","45"
