BehaviorSpace results (NetLogo 5.3),,,,,,,,
Bees.nlogo,,,,,,,,
resource_nums,,,,,,,,
02/17/2016 11:01:19:818 -0800,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-500,500,-500,500,,,,,
[run number],resource_density,patchiness,c1_mult,c2_mult,calc_R,[step],num-patches-r,count patches with [resource?]
320,"""sparse""",1,81,121,FALSE,1,44.532888,53
321,"""sparse""",1,81,161,FALSE,1,44.532888,42
322,"""sparse""",1,81,161,FALSE,1,44.532888,39
323,"""sparse""",1,81,161,FALSE,1,44.532888,65
324,"""sparse""",1,81,161,FALSE,1,44.532888,34
325,"""sparse""",1,81,161,FALSE,1,44.532888,36
326,"""sparse""",1,81,161,FALSE,1,44.532888,51
327,"""sparse""",1,81,161,FALSE,1,44.532888,38
328,"""sparse""",1,81,161,FALSE,1,44.532888,39
329,"""sparse""",1,81,161,FALSE,1,44.532888,38
330,"""sparse""",1,81,161,FALSE,1,44.532888,46
331,"""sparse""",1,81,161,FALSE,1,44.532888,47
332,"""sparse""",1,81,161,FALSE,1,44.532888,52
333,"""sparse""",1,81,161,FALSE,1,44.532888,51
334,"""sparse""",1,81,161,FALSE,1,44.532888,44
335,"""sparse""",1,81,161,FALSE,1,44.532888,50
336,"""sparse""",1,81,161,FALSE,1,44.532888,39
337,"""sparse""",1,81,161,FALSE,1,44.532888,44
338,"""sparse""",1,81,161,FALSE,1,44.532888,50
339,"""sparse""",1,81,161,FALSE,1,44.532888,47
340,"""sparse""",1,81,161,FALSE,1,44.532888,46
341,"""sparse""",1,81,201,FALSE,1,44.532888,46
342,"""sparse""",1,81,201,FALSE,1,44.532888,59
343,"""sparse""",1,81,201,FALSE,1,44.532888,50
344,"""sparse""",1,81,201,FALSE,1,44.532888,33
345,"""sparse""",1,81,201,FALSE,1,44.532888,42
346,"""sparse""",1,81,201,FALSE,1,44.532888,44
347,"""sparse""",1,81,201,FALSE,1,44.532888,42
348,"""sparse""",1,81,201,FALSE,1,44.532888,32
349,"""sparse""",1,81,201,FALSE,1,44.532888,45
350,"""sparse""",1,81,201,FALSE,1,44.532888,42
