BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
92,"""dense""","""0.8""",TRUE,3000,2,0.813379888,1,0.309881324,2230215.89,TRUE,FALSE,216.09,1982.689,3154,2669,485,235,440.9944102,14476,1884532.05,12134,610856.35,4054
93,"""dense""","""0.8""",TRUE,3000,3,0.79612838,1,0.297499594,2141104.58,TRUE,FALSE,188.417,1983.691,3154,2697,457,240,511.0469646,14291,1799883.78,11893,547190.34,3864
94,"""dense""","""0.8""",TRUE,3000,4,0.804121989,1,0.303658681,2185431.53,TRUE,FALSE,211.132,1992.908,3205,2735,470,229,575.2591995,14257,1833335.24,11862,574399.52,3901
95,"""dense""","""0.8""",TRUE,3000,5,0.795333186,1,0.329546401,2371745.45,TRUE,FALSE,210.811,1982.623,3279,2765,514,267,464.6004742,15640,2003715.76,13113,646644.58,4321
96,"""dense""","""0.8""",TRUE,3000,6,0.781258401,1,0.226760866,1631997.95,TRUE,FALSE,193.13,1990.275,3223,2789,434,205,407.8480109,12779,1346465.41,10399,430000.83,3482
97,"""dense""","""0.8""",TRUE,3000,7,0.822042221,1,0.330058145,2375428.47,TRUE,FALSE,231.201,2008.044,3180,2674,506,261,514.4714228,15465,2017850.03,13036,655646.36,4420
98,"""dense""","""0.8""",TRUE,3000,8,0.795244741,1,0.30045928,2162405.44,TRUE,FALSE,230.947,1997.073,3238,2753,485,253,515.2678915,14966,1826543.39,12490,586726.05,4203
99,"""dense""","""0.8""",TRUE,3000,9,0.776844074,1,0.307982088,2216547.09,TRUE,FALSE,195.378,1973.479,3205,2708,497,246,514.9417443,14675,1872131.71,12326,568354.16,3989
100,"""dense""","""0.8""",TRUE,3000,10,0.806040562,1,0.283538594,2040627.26,TRUE,FALSE,203.502,1989.99,3201,2714,487,235,485.4492764,14326,1716437.87,11958,526342.6,3816
101,"""dense""","""0.8""",FALSE,500,1,0.785919398,1,0.288379508,345911.22,TRUE,FALSE,202.781,1897.813,3152,3065,87,25,258.6426106,2412,0,0,37625.74,264
102,"""dense""","""0.8""",FALSE,500,2,0.813379888,1,0.329716515,395494.96,TRUE,FALSE,196.754,1912.581,3154,3054,100,28,338.1434607,2681,0,0,41070.59,269
103,"""dense""","""0.8""",FALSE,500,3,0.79612838,1,0.318069054,381523.83,TRUE,FALSE,204.843,1909.217,3154,3052,102,33,320.131632,2778,0,0,41315.01,318
104,"""dense""","""0.8""",FALSE,500,4,0.804121989,1,0.313069954,375527.41,TRUE,FALSE,209.703,1913.646,3205,3102,103,33,300.8421513,2624,0,0,38917.32,269
